survived,pclass,sex,age,sibsp,parch,fare,adult_male,alone,embarked_Q,embarked_S,who_man,who_woman,class_Second,class_Third,family_size,age_bin,fare_bin,fare_per_person
0,1,1,24,0,1,247.5208,True,False,False,False,True,False,False,False,2,2,3,123.7604
0,3,0,2,4,2,31.275,False,False,False,True,False,False,False,True,7,0,2,4.4678571428571425
0,2,1,21,2,0,73.5,True,False,False,True,True,False,True,False,3,2,3,24.5
0,3,1,28,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
0,2,1,32,1,0,30.0708,True,False,False,False,True,False,True,False,2,2,2,15.0354
1,2,0,32,0,0,13.0,False,True,False,True,False,True,True,False,1,2,1,13.0
0,1,1,54,0,1,77.2875,True,False,False,True,True,False,False,False,2,3,3,38.64375
1,3,1,12,1,0,11.2417,False,False,False,False,False,False,False,True,2,0,1,5.62085
0,3,1,28,0,0,7.75,True,True,True,False,True,False,False,True,1,2,0,7.75
1,3,1,24,0,0,7.1417,True,True,False,True,True,False,False,True,1,2,0,7.1417
1,3,0,28,1,1,22.3583,False,False,False,False,False,True,False,True,3,2,2,7.452766666666666
0,3,1,45,0,0,6.975,True,True,False,True,True,False,False,True,1,3,0,6.975
0,3,1,33,0,0,7.8958,True,True,False,False,True,False,False,True,1,2,0,7.8958
0,3,1,20,0,0,7.05,True,True,False,True,True,False,False,True,1,2,0,7.05
0,3,0,47,1,0,14.5,False,False,False,True,False,True,False,True,2,3,1,7.25
1,2,0,29,1,0,26.0,False,False,False,True,False,True,True,False,2,2,2,13.0
0,2,1,25,0,0,13.0,True,True,False,True,True,False,True,False,1,2,1,13.0
0,2,1,23,0,0,15.0458,True,True,False,False,True,False,True,False,1,2,2,15.0458
1,1,0,19,0,2,26.2833,False,False,False,True,False,True,False,False,3,2,2,8.7611
0,1,1,37,1,0,53.1,True,False,False,True,True,False,False,False,2,3,3,26.55
0,3,1,16,0,0,9.2167,True,True,False,True,True,False,False,True,1,1,1,9.2167
0,1,1,24,0,0,79.2,True,True,False,False,True,False,False,False,1,2,3,79.2
0,3,0,28,0,2,15.2458,False,False,False,False,False,True,False,True,3,2,2,5.081933333333333
1,3,0,22,0,0,7.75,False,True,False,True,False,True,False,True,1,2,0,7.75
1,3,0,24,1,0,15.85,False,False,False,True,False,True,False,True,2,2,2,7.925
0,3,1,19,0,0,6.75,True,True,True,False,True,False,False,True,1,2,0,6.75
0,2,1,18,0,0,11.5,True,True,False,True,True,False,True,False,1,1,1,11.5
0,2,1,19,1,1,36.75,True,False,False,True,True,False,True,False,3,2,3,12.25
1,3,1,27,0,0,7.7958,True,True,False,True,True,False,False,True,1,2,0,7.7958
0,3,0,9,2,2,34.375,False,False,False,True,False,False,False,True,5,0,3,6.875
0,2,1,36,0,2,26.0,True,False,False,True,True,False,True,False,3,3,2,8.666666666666666
0,2,1,42,0,0,13.0,True,True,False,True,True,False,True,False,1,3,1,13.0
0,2,1,51,0,0,12.525,True,True,False,True,True,False,True,False,1,3,1,12.525
1,1,0,22,1,0,66.6,False,False,False,True,False,True,False,False,2,2,3,33.3
0,3,1,55,0,0,8.05,True,True,False,True,True,False,False,True,1,3,1,8.05
0,3,1,40,0,2,14.5,True,False,False,True,True,False,False,True,3,3,1,4.833333333333333
0,3,1,28,0,0,7.3125,True,True,False,True,True,False,False,True,1,2,0,7.3125
0,1,1,51,0,1,61.3792,True,False,False,False,True,False,False,False,2,3,3,30.6896
1,3,0,16,0,0,7.7333,False,True,True,False,False,True,False,True,1,1,0,7.7333
0,3,1,30,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
0,3,1,28,0,0,8.6625,True,True,False,True,True,False,False,True,1,2,1,8.6625
0,3,1,28,8,2,69.55,True,False,False,True,True,False,False,True,11,2,3,6.322727272727272
0,3,1,44,0,1,16.1,True,False,False,True,True,False,False,True,2,3,2,8.05
1,2,0,40,0,0,15.75,False,True,False,True,False,True,True,False,1,3,2,15.75
0,3,1,26,0,0,7.775,True,True,False,True,True,False,False,True,1,2,0,7.775
0,3,1,17,0,0,8.6625,True,True,False,True,True,False,False,True,1,1,1,8.6625
0,3,1,1,4,1,39.6875,False,False,False,True,False,False,False,True,6,0,3,6.614583333333333
1,3,1,9,0,2,20.525,False,False,False,True,False,False,False,True,3,0,2,6.841666666666666
1,1,0,28,0,1,55.0,False,False,False,True,False,True,False,False,2,2,3,27.5
0,3,0,45,1,4,27.9,False,False,False,True,False,True,False,True,6,3,2,4.6499999999999995
0,1,1,28,0,0,25.925,True,True,False,True,True,False,False,False,1,2,2,25.925
0,3,1,28,0,0,56.4958,True,True,False,True,True,False,False,True,1,2,3,56.4958
0,1,1,61,0,0,33.5,True,True,False,True,True,False,False,False,1,,3,33.5
0,3,1,4,4,1,29.125,False,False,True,False,False,False,False,True,6,0,2,4.854166666666667
1,3,0,1,1,1,11.1333,False,False,False,True,False,False,False,True,3,0,1,3.7111
0,3,1,21,0,0,7.925,True,True,False,True,True,False,False,True,1,2,0,7.925
0,1,1,56,0,0,30.6958,True,True,False,False,True,False,False,False,1,3,2,30.6958
0,3,1,18,1,1,7.8542,True,False,False,True,True,False,False,True,3,1,0,2.6180666666666665
0,3,1,28,3,1,25.4667,True,False,False,True,True,False,False,True,5,2,2,5.0933399999999995
0,1,0,50,0,0,28.7125,False,True,False,False,False,True,False,False,1,3,2,28.7125
0,2,1,30,0,0,13.0,True,True,False,True,True,False,True,False,1,2,1,13.0
0,3,1,36,0,0,0.0,True,True,False,True,True,False,False,True,1,3,0,0.0
0,3,0,28,8,2,69.55,False,False,False,True,False,True,False,True,11,2,3,6.322727272727272
0,2,1,28,0,0,15.05,True,True,False,False,True,False,True,False,1,2,2,15.05
0,3,1,9,4,2,31.3875,False,False,False,True,False,False,False,True,7,0,3,4.483928571428572
1,2,1,1,2,1,39.0,False,False,False,True,False,False,True,False,4,0,3,9.75
1,3,0,4,0,2,22.025,False,False,False,True,False,False,False,True,3,0,2,7.341666666666666
0,1,1,28,0,0,50.0,True,True,False,True,True,False,False,False,1,2,3,50.0
1,3,0,28,1,0,15.5,False,False,True,False,False,True,False,True,2,2,2,7.75
1,1,1,45,0,0,26.55,True,True,False,True,True,False,False,False,1,3,2,26.55
0,3,1,40,1,1,15.5,True,False,True,False,True,False,False,True,3,3,2,5.166666666666667
0,3,1,36,0,0,7.8958,True,True,False,True,True,False,False,True,1,3,0,7.8958
1,2,0,32,0,0,13.0,False,True,False,True,False,True,True,False,1,2,1,13.0
0,2,1,19,0,0,13.0,True,True,False,True,True,False,True,False,1,2,1,13.0
1,3,0,19,1,0,7.8542,False,False,False,True,False,True,False,True,2,2,0,3.9271
1,2,1,3,1,1,26.0,False,False,False,True,False,False,True,False,3,0,2,8.666666666666666
1,1,0,44,0,0,27.7208,False,True,False,False,False,True,False,False,1,3,2,27.7208
1,1,0,58,0,0,146.5208,False,True,False,False,False,True,False,False,1,3,3,146.5208
0,3,1,28,0,0,7.75,True,True,True,False,True,False,False,True,1,2,0,7.75
0,3,1,42,0,1,8.4042,True,False,False,True,True,False,False,True,2,3,1,4.2021
1,3,0,28,0,0,7.75,False,True,True,False,False,True,False,True,1,2,0,7.75
0,2,0,24,0,0,13.0,False,True,False,True,False,True,True,False,1,2,1,13.0
0,3,1,28,0,0,9.5,True,True,False,True,True,False,False,True,1,2,1,9.5
0,3,1,28,8,2,69.55,True,False,False,True,True,False,False,True,11,2,3,6.322727272727272
0,3,1,34,0,0,6.4958,True,True,False,True,True,False,False,True,1,2,0,6.4958
0,3,1,45,0,0,7.225,True,True,False,False,True,False,False,True,1,3,0,7.225
1,3,1,18,0,0,8.05,True,True,False,True,True,False,False,True,1,1,1,8.05
0,3,0,2,0,1,10.4625,False,False,False,True,False,False,False,True,2,0,1,5.23125
0,3,1,32,1,0,15.85,True,False,False,True,True,False,False,True,2,2,2,7.925
1,3,1,26,0,0,18.7875,True,True,False,False,True,False,False,True,1,2,2,18.7875
1,3,0,16,0,0,7.75,False,True,True,False,False,True,False,True,1,1,0,7.75
1,1,1,40,0,0,31.0,True,True,False,False,True,False,False,False,1,3,2,31.0
0,3,1,24,0,0,7.05,True,True,False,True,True,False,False,True,1,2,0,7.05
1,2,0,35,0,0,21.0,False,True,False,True,False,True,True,False,1,2,2,21.0
0,3,1,22,0,0,7.25,True,True,False,True,True,False,False,True,1,2,0,7.25
0,2,1,30,0,0,13.0,True,True,False,True,True,False,True,False,1,2,1,13.0
0,3,1,28,1,0,7.75,True,False,True,False,True,False,False,True,2,2,0,3.875
1,1,0,31,1,0,113.275,False,False,False,False,False,True,False,False,2,2,3,56.6375
1,3,0,27,0,0,7.925,False,True,False,True,False,True,False,True,1,2,0,7.925
0,2,1,42,1,0,27.0,True,False,False,True,True,False,True,False,2,3,2,13.5
1,1,0,32,0,0,76.2917,False,True,False,False,False,True,False,False,1,2,3,76.2917
0,2,1,30,0,0,10.5,True,True,False,True,True,False,True,False,1,2,1,10.5
1,3,1,16,0,0,8.05,True,True,False,True,True,False,False,True,1,1,1,8.05
0,2,1,27,0,0,13.0,True,True,False,True,True,False,True,False,1,2,1,13.0
0,3,1,51,0,0,8.05,True,True,False,True,True,False,False,True,1,3,1,8.05
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True,1,2,0,7.8958
1,1,1,38,1,0,90.0,True,False,False,True,True,False,False,False,2,3,3,45.0
0,3,1,22,0,0,9.35,True,True,False,True,True,False,False,True,1,2,1,9.35
1,2,1,19,0,0,10.5,True,True,False,True,True,False,True,False,1,2,1,10.5
0,3,1,20,0,0,7.25,True,True,False,True,True,False,False,True,1,2,0,7.25
0,2,1,18,0,0,13.0,True,True,False,True,True,False,True,False,1,1,1,13.0
0,3,0,28,3,1,25.4667,False,False,False,True,False,True,False,True,5,2,2,5.0933399999999995
1,1,0,35,1,0,83.475,False,False,False,True,False,True,False,False,2,2,3,41.7375
0,3,1,29,0,0,7.775,True,True,False,True,True,False,False,True,1,2,0,7.775
0,2,1,59,0,0,13.5,True,True,False,True,True,False,True,False,1,3,1,13.5
1,3,0,5,4,2,31.3875,False,False,False,True,False,False,False,True,7,0,3,4.483928571428572
0,2,1,24,0,0,10.5,True,True,False,True,True,False,True,False,1,2,1,10.5
0,3,0,28,0,0,7.55,False,True,False,True,False,True,False,True,1,2,0,7.55
0,2,1,44,1,0,26.0,True,False,False,True,True,False,True,False,2,3,2,13.0
1,2,0,8,0,2,26.25,False,False,False,True,False,False,True,False,3,0,2,8.75
0,2,1,19,0,0,10.5,True,True,False,True,True,False,True,False,1,2,1,10.5
0,2,1,33,0,0,12.275,True,True,False,True,True,False,True,False,1,2,1,12.275
0,3,0,28,1,0,14.4542,False,False,False,False,False,True,False,True,2,2,1,7.2271
1,3,0,28,1,0,15.5,False,False,True,False,False,True,False,True,2,2,2,7.75
0,2,1,29,0,0,10.5,True,True,False,True,True,False,True,False,1,2,1,10.5
0,3,1,22,0,0,7.125,True,True,False,True,True,False,False,True,1,2,0,7.125
0,3,1,30,0,0,7.225,True,True,False,False,True,False,False,True,1,2,0,7.225
0,1,1,44,2,0,90.0,True,False,True,False,True,False,False,False,3,3,3,30.0
0,3,0,25,0,0,7.775,False,True,False,True,False,True,False,True,1,2,0,7.775
1,2,0,24,0,2,14.5,False,False,False,True,False,True,True,False,3,2,1,4.833333333333333
1,1,1,37,1,1,52.5542,True,False,False,True,True,False,False,False,3,3,3,17.518066666666666
0,2,1,54,1,0,26.0,True,False,False,True,True,False,True,False,2,3,2,13.0
0,3,1,28,0,0,7.25,True,True,False,True,True,False,False,True,1,2,0,7.25
0,3,0,29,1,1,10.4625,False,False,False,True,False,True,False,True,3,2,1,3.4875000000000003
0,1,1,62,0,0,26.55,True,True,False,True,True,False,False,False,1,,2,26.55
0,3,1,30,1,0,16.1,True,False,False,True,True,False,False,True,2,2,2,8.05
0,3,0,41,0,2,20.2125,False,False,False,True,False,True,False,True,3,3,2,6.7375
1,3,0,29,0,2,15.2458,False,False,False,False,False,True,False,True,3,2,2,5.081933333333333
1,1,0,28,0,0,79.2,False,True,False,False,False,True,False,False,1,2,3,79.2
1,1,0,30,0,0,86.5,False,True,False,True,False,True,False,False,1,2,3,86.5
1,1,0,35,0,0,512.3292,False,True,False,False,False,True,False,False,1,2,3,512.3292
1,2,0,50,0,1,26.0,False,False,False,True,False,True,True,False,2,3,2,13.0
0,3,1,28,0,0,7.75,True,True,True,False,True,False,False,True,1,2,0,7.75
1,3,1,3,4,2,31.3875,False,False,False,True,False,False,False,True,7,0,3,4.483928571428572
0,1,1,52,1,1,79.65,True,False,False,True,True,False,False,False,3,3,3,26.55
0,1,1,40,0,0,0.0,True,True,False,True,True,False,False,False,1,3,0,0.0
0,3,0,28,0,0,7.75,False,True,True,False,False,True,False,True,1,2,0,7.75
0,2,1,36,0,0,10.5,True,True,False,True,True,False,True,False,1,3,1,10.5
0,3,1,16,4,1,39.6875,True,False,False,True,True,False,False,True,6,1,3,6.614583333333333
1,3,1,25,1,0,7.775,True,False,False,True,True,False,False,True,2,2,0,3.8875
1,1,0,58,0,1,153.4625,False,False,False,True,False,True,False,False,2,3,3,76.73125
1,1,0,35,0,0,135.6333,False,True,False,True,False,True,False,False,1,2,3,135.6333
0,1,1,28,0,0,31.0,True,True,False,True,True,False,False,False,1,2,2,31.0
1,3,1,25,0,0,0.0,True,True,False,True,True,False,False,True,1,2,0,0.0
1,2,0,41,0,1,19.5,False,False,False,True,False,True,True,False,2,3,2,9.75
0,1,1,37,0,1,29.7,True,False,False,False,True,False,False,False,2,3,2,14.85
1,3,0,28,0,0,7.75,False,True,True,False,False,True,False,True,1,2,0,7.75
1,1,0,63,1,0,77.9583,False,False,False,True,False,True,False,False,2,,3,38.97915
0,3,0,45,0,0,7.75,False,True,False,True,False,True,False,True,1,3,0,7.75
0,2,1,28,0,0,0.0,True,True,False,True,True,False,True,False,1,2,0,0.0
0,3,1,7,4,1,29.125,False,False,True,False,False,False,False,True,6,0,2,4.854166666666667
1,3,0,35,1,1,20.25,False,False,False,True,False,True,False,True,3,2,2,6.75
0,3,1,65,0,0,7.75,True,True,True,False,True,False,False,True,1,,0,7.75
0,3,1,28,0,0,7.8542,True,True,False,True,True,False,False,True,1,2,0,7.8542
0,3,1,16,0,0,9.5,True,True,False,True,True,False,False,True,1,1,1,9.5
1,3,1,19,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
0,1,1,28,0,0,26.0,True,True,False,True,True,False,False,False,1,2,2,26.0
0,3,1,33,0,0,8.6625,True,True,False,False,True,False,False,True,1,2,1,8.6625
1,3,1,30,0,0,9.5,True,True,False,True,True,False,False,True,1,2,1,9.5
0,3,1,22,0,0,7.8958,True,True,False,True,True,False,False,True,1,2,0,7.8958
1,2,1,42,0,0,13.0,True,True,False,True,True,False,True,False,1,3,1,13.0
1,3,0,22,0,0,7.75,False,True,True,False,False,True,False,True,1,2,0,7.75
1,1,0,26,0,0,78.85,False,True,False,True,False,True,False,False,1,2,3,78.85
1,1,0,19,1,0,91.0792,False,False,False,False,False,True,False,False,2,2,3,45.5396
0,2,1,36,0,0,12.875,True,True,False,False,True,False,True,False,1,3,1,12.875
0,3,0,24,0,0,8.85,False,True,False,True,False,True,False,True,1,2,1,8.85
0,3,1,24,0,0,7.8958,True,True,False,True,True,False,False,True,1,2,0,7.8958
0,1,1,28,0,0,27.7208,True,True,False,False,True,False,False,False,1,2,2,27.7208
0,3,1,23,0,0,7.2292,True,True,False,False,True,False,False,True,1,2,0,7.2292
0,1,0,2,1,2,151.55,False,False,False,True,False,False,False,False,4,0,3,37.8875
1,1,1,28,0,0,30.5,True,True,False,True,True,False,False,False,1,2,2,30.5
1,1,0,50,0,1,247.5208,False,False,False,False,False,True,False,False,2,3,3,123.7604
1,3,0,28,0,0,7.75,False,True,True,False,False,True,False,True,1,2,0,7.75
1,3,1,28,2,0,23.25,True,False,True,False,True,False,False,True,3,2,2,7.75
0,3,1,19,0,0,0.0,True,True,False,True,True,False,False,True,1,2,0,0.0
1,2,0,28,0,0,12.35,False,True,True,False,False,True,True,False,1,2,1,12.35
0,3,1,28,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
1,1,1,0,1,2,151.55,False,False,False,True,False,False,False,False,4,,3,37.8875
1,1,0,28,0,0,110.8833,False,True,False,False,False,True,False,False,1,2,3,110.8833
1,1,0,17,1,0,108.9,False,False,False,False,False,True,False,False,2,1,3,54.45
0,2,1,30,1,0,24.0,True,False,False,False,True,False,True,False,2,2,2,12.0
1,1,0,30,0,0,56.9292,False,True,False,False,False,True,False,False,1,2,3,56.9292
1,1,0,24,0,0,83.1583,False,True,False,False,False,True,False,False,1,2,3,83.1583
1,1,0,18,2,2,262.375,False,False,False,False,False,True,False,False,5,1,3,52.475
0,2,0,26,1,1,26.0,False,False,False,True,False,True,True,False,3,2,2,8.666666666666666
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True,1,2,0,7.8958
0,2,1,43,1,1,26.25,True,False,False,True,True,False,True,False,3,3,2,8.75
1,3,0,26,0,0,7.8542,False,True,False,True,False,True,False,True,1,2,0,7.8542
1,2,0,24,1,0,26.0,False,False,False,True,False,True,True,False,2,2,2,13.0
0,2,1,54,0,0,14.0,True,True,False,True,True,False,True,False,1,3,1,14.0
1,1,0,31,0,2,164.8667,False,False,False,True,False,True,False,False,3,2,3,54.95556666666667
1,1,0,40,1,1,134.5,False,False,False,False,False,True,False,False,3,3,3,44.833333333333336
